MED2020_V1_00,MED2020_V1_00_NAME,MED2020_V1_00_NAME_ASCII,Maori_Electoral_Population,LAND_AREA_SQ_KM,AREA_SQ_KM
1,Hauraki-Waikato,Hauraki-Waikato,67522,12096.643916243824000,22190.137171795766000
2,Ikaroa-Rāwhiti,Ikaroa-Rawhiti,66474,30763.682142701113000,49783.851480940699000
3,Tāmaki Makaurau,Tamaki Makaurau,66860,743.454685180214820,2208.187534235599300
4,Te Tai Hauāuru,Te Tai Hauauru,68032,35760.291821166684000,46558.297372112313000
5,Te Tai Tokerau,Te Tai Tokerau,68173,15478.889514601953000,43927.088203509360000
6,Te Tai Tonga,Te Tai Tonga,68874,151723.720056596740000,235640.381087389340000
7,Waiariki,Waiariki,67111,18324.754388474092000,28451.984815867450000
